number,unit_name,entity_name,success,reason,rental_income,tax_paid,rented_to_mp,approx_tax_rate,mp_name,mp_email,years_rented_to_mp
ST0028147,Yeovil,Conservative and Unionist Party,TRUE,,31893,2500,FALSE,0.078387107,,,
ST0028081,Yeovil,Liberal Democrats,TRUE,,0,0,FALSE,,Adam Dance,adam.dance.mp@parliament.uk,
ST0028452,Erewash,Conservative and Unionist Party,TRUE,,,,FALSE,,,,
ST0027280,Havant,Conservative and Unionist Party,TRUE,,0,0,FALSE,,Alan Mak,alan.mak.mp@parliament.uk,
ST0028332,South Leicestershire,Conservative and Unionist Party,TRUE,,,,FALSE,,Alberto Costa,alberto.costa.mp@parliament.uk,
ST0028438,North East Hampshire,Conservative and Unionist Party,TRUE,,4985,315,TRUE,0.063189569,,,
ST0028213,Brentwood & Ongar,Conservative and Unionist Party,TRUE,,,,FALSE,,Alex Burghart,alex.burghart.mp@parliament.uk,
ST0028428,Gloucester,Conservative and Unionist Party,TRUE,,,,FALSE,,,,
ST0028519,Rutland and Stamford,Conservative and Unionist Party,TRUE,,0,0,FALSE,,Alicia Kearns,alicia.kearns.mp@parliament.uk,6
ST0028063,Mid Sussex,Liberal Democrats,TRUE,,0,,FALSE,,Alison Bennett,alison.bennett.mp@parliament.uk,
ST0027310,Mid Sussex,Conservative and Unionist Party,TRUE,,1444,,FALSE,0,,,
ST0028345,Scarborough & Whitby,Conservative and Unionist Party,TRUE,,1000,,FALSE,0,,,
ST0028318,St Ives,Conservative and Unionist Party,TRUE,,982,638,FALSE,0.6496945010183299,,,
ST0028099,St Ives,Liberal Democrats,TRUE,,0,148.6,FALSE,,Andrew George,andrew.george.mp@parliament.uk,
ST0028163,Arundel & South Downs,Conservative and Unionist Party,TRUE,,,,FALSE,,Andrew Griffith,andrew.griffith.mp@parliament.uk,
ST0028295,Welwyn Hatfield,Conservative and Unionist Party,TRUE,,46998,5223,FALSE,0.1111323886122813,,,
ST0028106,Welwyn Hatfield,Liberal Democrats,TRUE,,0,0,FALSE,,,,
ST0028364,Peterborough,Conservative and Unionist Party,TRUE,,9138,,FALSE,0,,,
ST0028353,Romford,Conservative and Unionist Party,TRUE,,25789,922,FALSE,0.035751677,Andrew Rosindell,andrew.rosindell.mp@parliament.uk,
ST0028352,Rossendale & Darwen,Conservative and Unionist Party,TRUE,,7791,0,TRUE,0,,,
ST0028341,Shipley,Conservative and Unionist Party,TRUE,,6720,,FALSE,0,,,
ST0026860,Cardiff North,Conservative and Unionist Party,TRUE,,0,,FALSE,,,,
ST0028231,Chester South and Eddisbury,Conservative and Unionist Party,TRUE,,0,0,FALSE,,Aphra Brandreth,aphra.brandreth.mp@parliament.uk,
ST0028289,West Lancashire,Conservative and Unionist Party,TRUE,,5163,0,FALSE,0,,,
ST0027358,South Norfolk,Conservative and Unionist Party,TRUE,,,1563,FALSE,,,,
ST0024812,North Cornwall,Conservative and Unionist Party,TRUE,,0,,FALSE,,,,
ST0027295,Huntingdon,Conservative and Unionist Party,TRUE,,0,,FALSE,,Ben Obese-Jecty,ben.obesejecty.mp@parliament.uk,
ST0026893,East Renfrewshire,Conservative and Unionist Party,TRUE,,,,FALSE,,,,
ST0028393,Mid Bedfordshire,Conservative and Unionist Party,TRUE,,,606,FALSE,,Blake Stephenson,blake.stephenson.mp@parliament.uk,
ST0028417,Harrow East,Conservative and Unionist Party,TRUE,,,,FALSE,,Bob Blackman,bob.blackman.mp@parliament.uk,
ST0028216,Bromsgrove,Conservative and Unionist Party,TRUE,,,,FALSE,,Bradley Thomas,bradley.thomas.mp@parliament.uk,
ST0028334,South Devon,Conservative and Unionist Party,TRUE,,322,,FALSE,0,,,
ST0028477,Witney,Liberal Democrats,TRUE,,0,,FALSE,,Charlie Maynard,charlie.maynard.mp@parliament.uk,
ST0028294,Witney,Conservative and Unionist Party,TRUE,,,313.88,FALSE,,,,
ST0028358,Redditch,Conservative and Unionist Party,TRUE,,441.52,,FALSE,0,,,
ST0028459,Dorking and Horley,Conservative and Unionist Party,TRUE,,12820,3460,FALSE,0.2698907956318253,,,
ST0027288,Hertfordshire North East,Conservative and Unionist Party,TRUE,,8040,781,FALSE,0.097139303,,,
ST0028419,Harlow,Conservative and Unionist Party,TRUE,,,,FALSE,,,,
ST0028040,Edinburgh West,Liberal Democrats,TRUE,,8350,0,FALSE,0,Christine Jardine,christine.jardine.mp@parliament.uk,
ST0028450,East Surrey,Conservative and Unionist Party,TRUE,,12373,2656,FALSE,0.214660955,Claire Coutinho,claire.coutinho.mp@parliament.uk,
ST0028306,Thornbury and Yate,Conservative and Unionist Party,TRUE,,28471,3227,FALSE,0.1133434020582346,,,
ST0028152,Wokingham,Conservative and Unionist Party,TRUE,,6111,,FALSE,0,,,
ST0026881,Crewe & Nantwich,Conservative and Unionist Party,TRUE,,4320,,FALSE,0,,,
ST0028319,St Albans,Conservative and Unionist Party,TRUE,,1358,,FALSE,0,,,
ST0028098,St Albans,Liberal Democrats,TRUE,,5810,265,FALSE,0.045611015,Daisy Cooper,daisy.cooper.mp@parliament.uk,
ST0025030,Wallasey,Conservative and Unionist Party,TRUE,,0,,FALSE,,,,
ST0028425,Gosport,Conservative and Unionist Party,TRUE,,9800,1627,FALSE,0.1660204081632653,Dame Caroline Dinenage,caroline.dinenage.mp@parliament.uk,
ST0028288,West Worcestershire,Conservative and Unionist Party,TRUE,,,,FALSE,,Dame Harriett Baldwin,harriett.baldwin.mp@parliament.uk,
ST0028448,East Hampshire,Conservative and Unionist Party,TRUE,,0,584,FALSE,,Damian Hinds,damian.hinds.mp@parliament.uk,
ST0028512,North East Somerset and Hanham,Conservative and Unionist Party,TRUE,,0,0,FALSE,,,,
ST0026870,Chipping Barnet,Conservative and Unionist Party,TRUE,,8162.2,,FALSE,0,,,
ST0028184,Bexleyheath & Crayford,Conservative and Unionist Party,TRUE,,32902.85,5630.27,FALSE,0.1711180034556277,,,
ST0028024,Cambridge,Liberal Democrats,TRUE,,3483.34,102.44,FALSE,0.029408556,,,
ST0028296,Uxbridge and South Ruislip,Conservative and Unionist Party,TRUE,,30946,1280,TRUE,0.041362373,,,
ST0028457,East Wiltshire,Conservative and Unionist Party,TRUE,,,56,FALSE,,Danny Kruger,,
ST0028323,Southampton Itchen,Conservative and Unionist Party,TRUE,,,,FALSE,,,,
ST0027304,Lichfield,Conservative and Unionist Party,TRUE,,0,0,FALSE,,,,
ST0028321,Southend West and leigh,Conservative and Unionist Party,TRUE,,12972,792,FALSE,0.061054579,,,
ST0028022,"Brecon, Radnor and Cwm Tawe",Liberal Democrats,TRUE,,0,0,FALSE,,David Chadwick,david.chadwick.mp@parliament.uk,
ST0028426,Goole and Pocklington,Conservative and Unionist Party,TRUE,,0,,FALSE,,David Davis,david.davis.mp@parliament.uk,
ST0028349,"Ruislip, Northwood and Pinner",Conservative and Unionist Party,TRUE,,0,66,FALSE,,David Simmonds,david.simmonds.mp@parliament.uk,
ST0028413,Hemel Hempstead,Conservative and Unionist Party,TRUE,,50,100,FALSE,2,,,
ST0028312,Surrey Heath,Conservative and Unionist Party,TRUE,,21633,9,TRUE,0.000416031,,,
ST0028101,Surrey Heath,Liberal Democrats,TRUE,,800,229.17,FALSE,0.2864625,Dr Al Pinkerton,al.pinkerton.mp@parliament.uk,
ST0028150,Worthing West,Conservative and Unionist Party,TRUE,,17800,1858,FALSE,0.1043820224719101,,,
ST0028348,Runnymede & Weybridge,Conservative and Unionist Party,TRUE,,0,3040,FALSE,,Dr Ben Spencer,ben.spencer.mp@parliament.uk,
